0,1,2,3
-120.0,-120.0,-20.04707502365112,-120.0
-20.447349500656127,-22.00720808506012,-22.207175917625428,-23.507120537757874
-20.48711974143982,-21.507115955352784,-22.327132320404054,-23.267142024040222
-20.50705463409424,-21.467104411125185,-22.34706316947937,-120.0
-20.54737545490265,-21.447118496894838,-23.207156682014464,-120.0
-20.567128314971924,-21.427102665901185,-23.187115783691407,-120.0
-20.607076301574708,-21.407166118621827,-120.0,-120.0
-20.647389936447144,-22.42707869529724,-23.167135848999024,-120.0
-20.92707971096039,-22.687045679092407,-23.027085604667665,-120.0
