0,1,2,3,4,5,6,7,8,9
-20.625695209503174,-20.32569251060486,-20.285702896118163,-20.265622448921203,-20.245699882507324,-20.225735034942627,-20.20573573112488,-20.16564061641693,-20.125750274658202,-20.07071719646454
-21.005681471824644,-21.02576759338379,-21.06566804409027,-21.085669713020323,-21.105741205215455,-21.125596170425414,-21.165650424957274,-21.225670647621154,-21.365757446289063,-21.845744462013243
-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-22.60568313598633,-120.0
