0,1,2,3,4,5,6,7,8,9,10,11
-120.0,-20.15978135585785,-20.179788308143614,-20.199894223213196,-20.219880175590514,-120.0,-20.239873824119567,-20.259833307266234,-20.27987343788147,-20.29981291770935,-20.319777841567994,-20.339799146652222
-120.0,-21.199752736091614,-21.1598615026474,-21.140026235580443,-21.119750723838806,-120.0,-21.099809646606445,-21.07982731819153,-21.059812092781065,-21.040015711784363,-21.019837284088133,-20.719782342910765
-120.0,-21.559841122627258,-21.899764904975893,-120.0,-21.919786820411684,-120.0,-21.940034732818603,-22.019758677482606,-22.05976770401001,-22.099767436981203,-22.179766263961792,-22.21974769592285
-120.0,-23.11974560260773,-23.099748010635377,-23.07988130569458,-23.059764189720156,-23.039747223854064,-23.019736847877503,-22.999786744117735,-22.979777178764344,-22.959738821983336,-22.91988142490387,-22.519880089759827
-23.7397661447525,-23.719873442649842,-23.939851756095887,-23.959835591316224,-24.099805359840392,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
